    7   24   30    1    7     /NITROGEN           /GCR PROJECT      
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
  -0.69877  -0.52268  -0.30083  -0.15470   0.00020   0.17629   0.30123   0.47732
   0.69917   0.84530   1.00020   1.17629   1.30123   1.47732   1.69917   1.84530
   2.00020   2.17629   2.30123   2.47732   2.69917   2.84530   3.00020   3.17629
   3.30123   3.47732   3.69917   3.84530   4.00020   4.17629
---------------------/ IGRD= 1  / IPRT= 1  /--------/ Z1= 1   / DATE= 18/07/15
 -13.08842 -13.11979 -13.15445 -13.20441 -13.24392 -13.28403 -13.34052 -13.38671
 -13.43554 -13.50510 -13.56107 -13.61896 -13.70048 -13.76411 -13.82624 -13.90897
 -13.97377 -14.04187 -14.14326 -14.20275 -14.23576 -14.40126 -14.35652 -14.05755
 -13.41875 -13.45020 -13.48494 -13.53498 -13.57455 -13.61474 -13.67132 -13.71755
 -13.76647 -13.83627 -13.89246 -13.95063 -14.03261 -14.09670 -14.15930 -14.24269
 -14.30806 -14.37673 -14.47880 -14.53871 -14.57200 -14.73767 -14.69268 -14.39316
 -13.63695 -13.66845 -13.70321 -13.75328 -13.79289 -13.83308 -13.88968 -13.93597
 -13.98494 -14.05481 -14.11110 -14.16939 -14.25156 -14.31580 -14.37860 -14.46228
 -14.52787 -14.59678 -14.69917 -14.75927 -14.79269 -14.95840 -14.91325 -14.61341
 -13.86851 -13.90002 -13.93480 -13.98490 -14.02453 -14.06476 -14.12140 -14.16771
 -14.21672 -14.28667 -14.34303 -14.40141 -14.48373 -14.54811 -14.61104 -14.69494
 -14.76071 -14.82981 -14.93244 -14.99272 -15.02628 -15.19202 -15.14670 -14.84657
 -14.13183 -14.16337 -14.19817 -14.24829 -14.28794 -14.32822 -14.38493 -14.43126
 -14.48030 -14.55033 -14.60677 -14.66522 -14.74770 -14.81222 -14.87528 -14.95936
 -15.02533 -15.09461 -15.19747 -15.25795 -15.29165 -15.45743 -15.41193 -15.11150
 -14.31870 -14.35025 -14.38507 -14.43520 -14.47486 -14.51518 -14.57194 -14.61828
 -14.66734 -14.73743 -14.79391 -14.85242 -14.93499 -14.99961 -15.06275 -15.14696
 -15.21305 -15.28245 -15.38546 -15.44606 -15.47986 -15.64567 -15.60007 -15.29946
 -14.58212 -14.61368 -14.64852 -14.69867 -14.73836 -14.77872 -14.83553 -14.88189
 -14.93099 -15.00115 -15.05770 -15.11628 -15.19897 -15.26371 -15.32696 -15.41133
 -15.47758 -15.54714 -15.65034 -15.71111 -15.74503 -15.91090 -15.86518 -15.56432
 -14.91405 -14.94564 -14.98049 -15.03067 -15.07038 -15.11080 -15.16768 -15.21406
 -15.26320 -15.33344 -15.39006 -15.44872 -15.53156 -15.59643 -15.65980 -15.74435
 -15.81078 -15.88052 -15.98395 -16.04490 -16.07896 -16.24493 -16.19909 -15.89795
 -15.13273 -15.16433 -15.19920 -15.24939 -15.28911 -15.32956 -15.38648 -15.43288
 -15.48204 -15.55234 -15.60899 -15.66770 -15.75063 -15.81558 -15.87903 -15.96369
 -16.03022 -16.10006 -16.20363 -16.26469 -16.29885 -16.46488 -16.41898 -16.11769
 -15.36457 -15.39618 -15.43106 -15.48127 -15.52100 -15.56148 -15.61844 -15.66485
 -15.71404 -15.78438 -15.84108 -15.89983 -15.98284 -16.04787 -16.11139 -16.19616
 -16.26280 -16.33275 -16.43645 -16.49761 -16.53186 -16.69798 -16.65203 -16.35058
 -15.62815 -15.65977 -15.69467 -15.74490 -15.78464 -15.82515 -15.88215 -15.92858
 -15.97779 -16.04818 -16.10493 -16.16373 -16.24683 -16.31194 -16.37553 -16.46042
 -16.52716 -16.59722 -16.70107 -16.76234 -16.79669 -16.96290 -16.91692 -16.61531
---------------------/ IGRD= 1  / IPRT= 1  /--------/ Z1= 2   / DATE= 18/07/15
 -11.29115 -11.27394 -11.25519 -11.22558 -11.19628 -11.15827 -11.09926 -11.04857
 -10.98881 -10.89562 -10.81409 -10.71868 -10.56476 -10.42515 -10.26727 -10.02897
  -9.82330  -9.59374  -9.25141  -8.96320  -8.65238  -8.21712  -7.88060  -7.54943
 -11.36445 -11.34987 -11.33406 -11.31053 -11.28729 -11.25377 -11.21229 -11.18968
 -11.14929 -11.07134 -11.00627 -10.92973 -10.80889 -10.70267 -10.57952 -10.38853
 -10.22205 -10.03477  -9.75281  -9.51288  -9.25148  -8.88438  -8.59348  -8.28094
 -11.49946 -11.49108 -11.48195 -11.46740 -11.45304 -11.43478 -11.40521 -11.37901
 -11.34817 -11.29956 -11.25594 -11.20398 -11.12012 -11.04434 -10.95733 -10.82272
 -10.70351 -10.56688 -10.35699 -10.17484  -9.97183  -9.67251  -9.42358  -9.15538
 -11.57325 -11.56786 -11.56165 -11.55219 -11.54335 -11.53128 -11.51114 -11.49363
 -11.47277 -11.43941 -11.40930 -11.37320 -11.31411 -11.25991 -11.19728 -11.09888
 -11.00996 -10.90672 -10.74479 -10.60073 -10.43703 -10.18581  -9.96581  -9.71916
 -11.63338 -11.62997 -11.62666 -11.62112 -11.61497 -11.60727 -11.59534 -11.58500
 -11.57263 -11.55173 -11.53199 -11.50911 -11.47132 -11.43532 -11.39412 -11.32874
 -11.26761 -11.19535 -11.07973 -10.97418 -10.85055 -10.65090 -10.46514 -10.24553
 -11.68859 -11.68752 -11.68651 -11.68451 -11.68205 -11.67922 -11.67291 -11.66582
 -11.65977 -11.65019 -11.63882 -11.62616 -11.60513 -11.58390 -11.56028 -11.52277
 -11.48613 -11.44172 -11.36945 -11.30230 -11.22125 -11.08026 -10.93751 -10.75886
 -11.66230 -11.66627 -11.66907 -11.67248 -11.67553 -11.67738 -11.67816 -11.67852
 -11.67876 -11.67770 -11.67493 -11.67033 -11.66038 -11.64947 -11.63651 -11.61483
 -11.59310 -11.56590 -11.51997 -11.47578 -11.42066 -11.31971 -11.21184 -11.07065
 -11.45676 -11.47361 -11.48880 -11.50743 -11.52190 -11.53713 -11.55914 -11.57715
 -11.59508 -11.61712 -11.63169 -11.64392 -11.65677 -11.66418 -11.66960 -11.67258
 -11.67119 -11.66742 -11.65648 -11.64075 -11.61654 -11.56596 -11.50741 -11.42527
 -11.11585 -11.14435 -11.17196 -11.20697 -11.23380 -11.26358 -11.31042 -11.35152
 -11.39450 -11.44938 -11.48758 -11.52268 -11.56596 -11.59702 -11.62662 -11.66376
 -11.68975 -11.71313 -11.74010 -11.75631 -11.76580 -11.76708 -11.75843 -11.73749
 -10.97771 -11.00893 -11.03935 -11.07824 -11.10855 -11.14311 -11.19822 -11.24702
 -11.29968 -11.36865 -11.41686 -11.46194 -11.51858 -11.55982 -11.60077 -11.65504
 -11.69545 -11.73382 -11.78021 -11.81124 -11.83731 -11.86421 -11.87849 -11.88519
 -10.92239 -10.95476 -10.98663 -11.02771 -11.05982 -11.09655 -11.15529 -11.20768
 -11.26511 -11.34121 -11.39458 -11.44462 -11.50925 -11.55864 -11.60816 -11.67311
