    7   24   30    1    7     /NITROGEN           /GCR PROJECT      
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
  -0.69877  -0.52268  -0.30083  -0.15470   0.00020   0.17629   0.30123   0.47732
   0.69917   0.84530   1.00020   1.17629   1.30123   1.47732   1.69917   1.84530
   2.00020   2.17629   2.30123   2.47732   2.69917   2.84530   3.00020   3.17629
   3.30123   3.47732   3.69917   3.84530   4.00020   4.17629
---------------------/ IGRD= 1  / IPRT= 1  /--------/ Z1= 1   / DATE= 18/07/15
 -29.95178 -29.96079 -29.96803 -29.97734 -29.98536 -29.99380 -30.00274 -30.00808
 -30.01393 -30.02182 -30.02864 -30.03696 -30.04443 -30.04797 -30.05320 -30.05808
 -30.05953 -30.06145 -30.06587 -30.06843 -30.06774 -30.06623 -30.06604 -30.06569
 -30.17945 -30.18734 -30.19001 -30.19612 -30.20392 -30.20974 -30.21516 -30.21795
 -30.21944 -30.22348 -30.23065 -30.24093 -30.24749 -30.24845 -30.25317 -30.25757
 -30.25732 -30.25727 -30.26312 -30.26712 -30.26332 -30.25899 -30.26009 -30.26170
 -30.32810 -30.33524 -30.33493 -30.33897 -30.34660 -30.35070 -30.35385 -30.35502
 -30.35373 -30.35528 -30.36265 -30.37410 -30.38001 -30.37931 -30.38370 -30.38779
 -30.38644 -30.38506 -30.39175 -30.39663 -30.39075 -30.38455 -30.38651 -30.38949
 -30.48316 -30.48946 -30.48610 -30.48798 -30.49539 -30.49771 -30.49850 -30.49799
 -30.49385 -30.49287 -30.50039 -30.51291 -30.51807 -30.51569 -30.51974 -30.52351
 -30.52101 -30.51819 -30.52568 -30.53142 -30.52334 -30.51514 -30.51802 -30.52253
 -30.65446 -30.65977 -30.65316 -30.65270 -30.65981 -30.66011 -30.65826 -30.65599
 -30.64883 -30.64513 -30.65273 -30.66615 -30.67030 -30.66615 -30.66988 -30.67342
 -30.66965 -30.66513 -30.67331 -30.67991 -30.66930 -30.65880 -30.66271 -30.66912
 -30.77139 -30.77598 -30.76727 -30.76528 -30.77213 -30.77101 -30.76734 -30.76395
 -30.75488 -30.74943 -30.75698 -30.77075 -30.77406 -30.76877 -30.77236 -30.77584
 -30.77121 -30.76545 -30.77394 -30.78103 -30.76861 -30.75642 -30.76104 -30.76888
 -30.92692 -30.93050 -30.91930 -30.91544 -30.92184 -30.91877 -30.91264 -30.90796
 -30.89667 -30.88912 -30.89643 -30.91009 -30.91197 -30.90536 -30.90892 -30.91257
 -30.90683 -30.89920 -30.90776 -30.91535 -30.90034 -30.88566 -30.89116 -30.90111
 -31.10124 -31.10359 -31.09041 -31.08493 -31.09063 -31.08523 -31.07626 -31.07067
 -31.05769 -31.04837 -31.05502 -31.06722 -31.06678 -31.05912 -31.06309 -31.06758
 -31.06064 -31.05046 -31.05835 -31.06612 -31.04778 -31.02964 -31.03589 -31.04846
 -31.19871 -31.20036 -31.18678 -31.18083 -31.18599 -31.17918 -31.16857 -31.16294
 -31.14972 -31.13993 -31.14587 -31.15616 -31.15384 -31.14595 -31.15055 -31.15610
 -31.14854 -31.13654 -31.14346 -31.15104 -31.13046 -31.10974 -31.11611 -31.13022
 -31.28413 -31.28516 -31.27198 -31.26612 -31.27071 -31.26253 -31.25040 -31.24525
 -31.23261 -31.22299 -31.22796 -31.23541 -31.23079 -31.22309 -31.22872 -31.23590
 -31.22785 -31.21380 -31.21924 -31.22638 -31.20336 -31.17961 -31.18568 -31.20104
 -31.35733 -31.35788 -31.34606 -31.34097 -31.34495 -31.33539 -31.32178 -31.31780
 -31.30675 -31.29812 -31.30178 -31.30513 -31.29762 -31.29060 -31.29785 -31.30751
 -31.29908 -31.28259 -31.28590 -31.29231 -31.26649 -31.23888 -31.24401 -31.26013
---------------------/ IGRD= 1  / IPRT= 1  /--------/ Z1= 2   / DATE= 18/07/15
 -28.46598 -28.44280 -28.41839 -28.38046 -28.34352 -28.29765 -28.22315 -28.15664
 -28.08096 -27.96773 -27.87121 -27.76088 -27.58790 -27.43387 -27.25955 -27.00044
 -26.78287 -26.54529 -26.20915 -25.94127 -25.66612 -25.29782 -25.02071 -24.74981
 -28.62732 -28.61125 -28.59433 -28.56817 -28.54241 -28.50941 -28.45550 -28.40811
 -28.35419 -28.27265 -28.20188 -28.11936 -27.98778 -27.87000 -27.73728 -27.53767
 -27.36705 -27.17903 -26.90171 -26.67119 -26.42551 -26.08306 -25.81648 -25.55033
 -28.81307 -28.80357 -28.79401 -28.77763 -28.76026 -28.74036 -28.70759 -28.67586
 -28.64037 -28.58752 -28.54056 -28.48496 -28.39584 -28.31605 -28.22563 -28.08739
 -27.96619 -27.82937 -27.62231 -27.44453 -27.24857 -26.96423 -26.73308 -26.49138
 -28.93285 -28.92552 -28.91727 -28.90503 -28.89372 -28.87812 -28.85255 -28.83094
 -28.80513 -28.76515 -28.73039 -28.68774 -28.61952 -28.56003 -28.49108 -28.38461
 -28.29185 -28.18541 -28.02110 -27.87834 -27.71928 -27.48239 -27.28328 -27.07041
 -29.04494 -29.04013 -29.03490 -29.02655 -29.01822 -29.00751 -28.99077 -28.97613
 -28.95731 -28.92834 -28.90449 -28.87447 -28.82437 -28.78011 -28.73021 -28.65297
 -28.58352 -28.50319 -28.37881 -28.26993 -28.14708 -27.96035 -27.80012 -27.62634
 -29.11988 -29.11854 -29.11680 -29.11361 -29.11015 -29.10534 -29.09707 -29.08932
 -29.07945 -29.06360 -29.04934 -29.03120 -29.00155 -28.97529 -28.94402 -28.89336
 -28.84744 -28.79435 -28.71025 -28.63439 -28.54856 -28.41671 -28.30061 -28.17099
 -28.98941 -28.99385 -28.99765 -29.00126 -29.00297 -29.00450 -29.00646 -29.00750
