   36    /N + 0 EMISSIVITY COEFFTS./
  7454.2 A  24  24 /FILMEM = #7_ls#n0/TYPE = EXCIT    /INDM = T/ISEL =    1
 1.00E+01 1.00E+02 1.00E+03 1.00E+04 1.00E+05 1.00E+06 3.00E+06 1.00E+07
 3.00E+07 1.00E+08 3.00E+08 1.00E+09 3.00E+09 1.00E+10 3.00E+10 1.00E+11
 3.76E-09 4.94E-09 5.83E-09 5.98E-09 5.85E-09 5.46E-09 5.12E-09 4.63E-09
 1.00E-74 1.00E-74 1.00E-74 1.00E-74 3.35E-39 4.00E-29 4.56E-21 1.26E-17
 4.58E-15 4.25E-13 4.01E-12 3.78E-11 2.69E-10 7.05E-10 1.53E-09 2.80E-09
 3.75E-09 4.93E-09 5.81E-09 5.97E-09 5.84E-09 5.45E-09 5.11E-09 4.63E-09
 1.00E-74 1.00E-74 1.00E-74 3.32E-49 3.35E-39 3.99E-29 4.55E-21 1.26E-17
 4.57E-15 4.24E-13 3.99E-12 3.76E-11 2.67E-10 6.98E-10 1.51E-09 2.76E-09
 3.70E-09 4.88E-09 5.76E-09 5.91E-09 5.79E-09 5.41E-09 5.08E-09 4.60E-09
 1.00E-74 1.00E-74 1.00E-74 3.32E-49 3.34E-39 3.98E-29 4.54E-21 1.25E-17
 4.54E-15 4.20E-13 3.93E-12 3.68E-11 2.60E-10 6.77E-10 1.46E-09 2.68E-09
 3.59E-09 4.73E-09 5.60E-09 5.77E-09 5.66E-09 5.30E-09 4.99E-09 4.52E-09
 1.00E-74 1.00E-74 1.00E-74 2.66E-49 3.31E-39 3.93E-29 4.47E-21 1.23E-17
 4.44E-15 4.05E-13 3.74E-12 3.44E-11 2.38E-10 6.15E-10 1.32E-09 2.41E-09
 3.23E-09 4.28E-09 5.11E-09 5.30E-09 5.24E-09 4.95E-09 4.68E-09 4.28E-09
 1.00E-74 1.00E-74 1.00E-74 2.66E-49 3.21E-39 3.81E-29 4.31E-21 1.18E-17
 4.18E-15 3.68E-13 3.29E-12 2.90E-11 1.93E-10 4.90E-10 1.04E-09 1.88E-09
 2.54E-09 3.39E-09 4.11E-09 4.32E-09 4.33E-09 4.16E-09 3.99E-09 3.70E-09
 1.00E-74 1.00E-74 1.00E-74 2.46E-49 2.95E-39 3.47E-29 3.86E-21 1.03E-17
 3.51E-15 2.85E-13 2.37E-12 1.92E-11 1.21E-10 2.98E-10 6.15E-10 1.11E-09
 1.49E-09 2.01E-09 2.50E-09 2.67E-09 2.75E-09 2.72E-09 2.67E-09 2.55E-09
 1.00E-74 1.00E-74 1.00E-74 2.08E-49 2.47E-39 2.89E-29 3.13E-21 8.10E-18
 2.57E-15 1.86E-13 1.42E-12 1.06E-11 6.30E-11 1.52E-10 3.09E-10 5.48E-10
 7.37E-10 9.95E-10 1.25E-09 1.36E-09 1.42E-09 1.45E-09 1.44E-09 1.42E-09
 1.00E-74 1.00E-74 1.00E-74 1.54E-49 1.83E-39 2.13E-29 2.25E-21 5.52E-18
 1.59E-15 1.01E-13 7.04E-13 4.78E-12 2.68E-11 6.35E-11 1.27E-10 2.23E-10
 2.98E-10 4.02E-10 5.08E-10 5.57E-10 5.91E-10 6.13E-10 6.20E-10 6.25E-10
 1.00E-74 1.00E-74 1.00E-74 1.14E-49 1.36E-39 1.59E-29 1.64E-21 3.80E-18
 9.99E-16 5.53E-14 3.54E-13 2.18E-12 1.14E-11 2.65E-11 5.23E-11 9.07E-11
 1.20E-10 1.62E-10 2.05E-10 2.26E-10 2.43E-10 2.55E-10 2.61E-10 2.68E-10
 1.00E-74 1.00E-74 1.00E-74 8.39E-50 1.00E-39 1.17E-29 1.18E-21 2.55E-18
 5.85E-16 2.70E-14 1.53E-13 8.41E-13 4.09E-12 9.23E-12 1.79E-11 3.07E-11
 4.05E-11 5.42E-11 6.90E-11 7.65E-11 8.26E-11 8.78E-11 9.07E-11 9.44E-11
  8214.0 A  24  24 /FILMEM = #7_ls#n0/TYPE = EXCIT    /INDM = T/ISEL =    2
 1.00E+01 1.00E+02 1.00E+03 1.00E+04 1.00E+05 1.00E+06 3.00E+06 1.00E+07
 3.00E+07 1.00E+08 3.00E+08 1.00E+09 3.00E+09 1.00E+10 3.00E+10 1.00E+11
 3.00E+11 1.00E+12 3.00E+12 1.00E+13 3.00E+13 1.00E+14 3.00E+14 1.00E+15
 4.31E-02 6.03E-02 8.62E-02 1.29E-01 1.72E-01 2.59E-01 4.31E-01 6.03E-01
 8.62E-01 1.29E+00 1.72E+00 2.59E+00 4.31E+00 6.03E+00 8.62E+00 1.29E+01
 1.72E+01 2.59E+01 4.31E+01 6.03E+01 8.62E+01 1.29E+02 1.72E+02 2.59E+02
 1.00E-74 1.00E-74 1.00E-74 1.00E-74 1.00E-74 1.32E-29 1.23E-21 3.35E-18
 1.35E-15 1.64E-13 1.92E-12 2.27E-11 1.62E-10 3.78E-10 7.03E-10 1.10E-09
 1.35E-09 1.63E-09 1.85E-09 1.92E-09 1.93E-09 1.88E-09 1.83E-09 1.75E-09
 1.00E-74 1.00E-74 1.00E-74 1.00E-74 1.66E-39 1.41E-29 1.32E-21 3.60E-18
 1.45E-15 1.76E-13 2.04E-12 2.33E-11 1.60E-10 3.62E-10 6.62E-10 1.03E-09
 1.27E-09 1.56E-09 1.80E-09 1.88E-09 1.90E-09 1.86E-09 1.81E-09 1.73E-09
 1.00E-74 1.00E-74 1.00E-74 1.00E-74 2.32E-39 2.11E-29 2.03E-21 5.55E-18
 2.23E-15 2.53E-13 2.67E-12 2.61E-11 1.51E-10 3.25E-10 5.87E-10 9.35E-10
 1.18E-09 1.49E-09 1.77E-09 1.86E-09 1.88E-09 1.85E-09 1.80E-09 1.73E-09
 1.00E-74 1.00E-74 1.00E-74 1.00E-74 4.59E-39 4.10E-29 3.93E-21 1.07E-17
 4.05E-15 3.79E-13 3.41E-12 2.82E-11 1.47E-10 3.10E-10 5.64E-10 9.12E-10
 1.16E-09 1.48E-09 1.76E-09 1.85E-09 1.88E-09 1.85E-09 1.80E-09 1.72E-09
 1.00E-74 1.00E-74 1.00E-74 1.00E-74 5.70E-39 5.04E-29 4.79E-21 1.30E-17
 4.76E-15 4.16E-13 3.58E-12 2.87E-11 1.47E-10 3.08E-10 5.62E-10 9.10E-10
 1.16E-09 1.48E-09 1.76E-09 1.85E-09 1.88E-09 1.85E-09 1.80E-09 1.72E-09
