    7   24   30    1    7     /NITROGEN           /GCR PROJECT      
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
  -0.69877  -0.52268  -0.30083  -0.15470   0.00020   0.17629   0.30123   0.47732
   0.69917   0.84530   1.00020   1.17629   1.30123   1.47732   1.69917   1.84530
   2.00020   2.17629   2.30123   2.47732   2.69917   2.84530   3.00020   3.17629
   3.30123   3.47732   3.69917   3.84530   4.00020   4.17629
---------------------/ IGRD= 1  / IPRT= 1  /--------/ Z1= 1   / DATE= 18/07/15
  -7.00039  -7.00056  -7.00057  -7.00058  -7.00046  -7.00003  -6.99984  -7.00002
  -7.00004  -6.99996  -6.99977  -6.99925  -6.99803  -6.99661  -6.99419  -6.98575
  -6.97370  -6.95616  -6.92249  -6.89198  -6.86271  -6.83041  -6.80990  -6.78984
  -6.97396  -6.97475  -6.97484  -6.97468  -6.97431  -6.97336  -6.97329  -6.97395
  -6.97394  -6.97419  -6.97446  -6.97384  -6.97250  -6.97172  -6.97069  -6.96383
  -6.95426  -6.94198  -6.91116  -6.88165  -6.85847  -6.83007  -6.80661  -6.78276
  -6.95853  -6.95973  -6.95987  -6.95960  -6.95906  -6.95775  -6.95777  -6.95875
  -6.95871  -6.95918  -6.95976  -6.95905  -6.95764  -6.95729  -6.95715  -6.95132
  -6.94339  -6.93458  -6.90564  -6.87678  -6.85759  -6.83174  -6.80633  -6.77999
  -6.94331  -6.94494  -6.94514  -6.94475  -6.94401  -6.94234  -6.94244  -6.94376
  -6.94370  -6.94440  -6.94530  -6.94449  -6.94299  -6.94310  -6.94392  -6.93916
  -6.93296  -6.92784  -6.90088  -6.87271  -6.85773  -6.83456  -6.80709  -6.77812
  -6.92699  -6.92910  -6.92938  -6.92883  -6.92787  -6.92579  -6.92599  -6.92769
  -6.92761  -6.92858  -6.92983  -6.92890  -6.92730  -6.92794  -6.92982  -6.92626
  -6.92203  -6.92110  -6.89641  -6.86900  -6.85878  -6.83864  -6.80884  -6.77688
  -6.91585  -6.91830  -6.91863  -6.91798  -6.91686  -6.91448  -6.91476  -6.91673
  -6.91662  -6.91778  -6.91929  -6.91826  -6.91659  -6.91760  -6.92024  -6.91753
  -6.91469  -6.91673  -6.89364  -6.86677  -6.85990  -6.84189  -6.81044  -6.77637
  -6.90057  -6.90351  -6.90390  -6.90310  -6.90175  -6.89896  -6.89934  -6.90170
  -6.90157  -6.90299  -6.90486  -6.90368  -6.90189  -6.90343  -6.90713  -6.90560
  -6.90471  -6.91094  -6.89011  -6.86399  -6.86182  -6.84678  -6.81301  -6.77598
  -6.88178  -6.88532  -6.88580  -6.88481  -6.88318  -6.87987  -6.88038  -6.88322
  -6.88305  -6.88482  -6.88713  -6.88575  -6.88381  -6.88602  -6.89105  -6.89097
  -6.89251  -6.90402  -6.88603  -6.86084  -6.86455  -6.85321  -6.81653  -6.77579
  -6.86958  -6.87352  -6.87405  -6.87294  -6.87113  -6.86747  -6.86807  -6.87122
  -6.87104  -6.87303  -6.87562  -6.87410  -6.87206  -6.87471  -6.88060  -6.88147
  -6.88461  -6.89958  -6.88347  -6.85887  -6.86643  -6.85749  -6.81889  -6.77572
  -6.85675  -6.86111  -6.86170  -6.86045  -6.85845  -6.85442  -6.85512  -6.85861
  -6.85840  -6.86063  -6.86352  -6.86185  -6.85968  -6.86280  -6.86961  -6.87146
  -6.87628  -6.89493  -6.88079  -6.85683  -6.86842  -6.86200  -6.82139  -6.77565
  -6.84224  -6.84708  -6.84773  -6.84634  -6.84411  -6.83968  -6.84048  -6.84434
  -6.84411  -6.84661  -6.84984  -6.84799  -6.84567  -6.84931  -6.85717  -6.86012
  -6.86683  -6.88964  -6.87776  -6.85450  -6.87064  -6.86705  -6.82416  -6.77551
---------------------/ IGRD= 1  / IPRT= 1  /--------/ Z1= 2   / DATE= 18/07/15
 -67.65220 -67.63603 -67.60148 -67.49030 -67.33479 -67.12770 -66.80665 -66.55195
 -66.29950 -65.97678 -65.73998 -65.50452 -65.18179 -64.92684 -64.67329 -64.27182
 -63.85359 -63.37297 -62.81266 -62.36462 -61.93411 -61.43618 -61.10594 -60.80343
 -51.73145 -51.71537 -51.68409 -51.59271 -51.47330 -51.31807 -51.07010 -50.84693
 -50.57269 -50.11160 -49.69123 -49.23290 -48.60369 -48.11655 -47.60246 -46.95317
 -46.49964 -45.99045 -45.26439 -44.73266 -44.22815 -43.62272 -43.21970 -42.85552
 -34.05585 -34.05277 -34.05111 -34.05009 -34.04886 -34.04528 -34.03215 -34.01359
 -33.98874 -33.94827 -33.90413 -33.82829 -33.62288 -33.35371 -32.99888 -32.44594
 -31.99758 -31.53766 -30.92163 -30.45905 -30.01655 -29.48179 -29.11909 -28.78470
