    7   24   30    1    7     /NITROGEN           /GCR PROJECT      
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
  -0.69877  -0.52268  -0.30083  -0.15470   0.00020   0.17629   0.30123   0.47732
   0.69917   0.84530   1.00020   1.17629   1.30123   1.47732   1.69917   1.84530
   2.00020   2.17629   2.30123   2.47732   2.69917   2.84530   3.00020   3.17629
   3.30123   3.47732   3.69917   3.84530   4.00020   4.17629
---------------------/ IGRD= 1  / IPRT= 0  /--------/ Z1= 1   / DATE= 18/07/15
 -24.95934 -24.95935 -24.95935 -24.95935 -24.95936 -24.95938 -24.95930 -24.95936
 -24.95960 -24.95855 -24.95925 -24.96403 -24.96513 -24.96434 -24.97099 -24.98391
 -25.00240 -25.04149 -25.12806 -25.22314 -25.35019 -25.58216 -25.79280 -26.00822
 -24.97735 -24.97735 -24.97735 -24.97735 -24.97738 -24.97743 -24.97721 -24.97734
 -24.97796 -24.97521 -24.97671 -24.98827 -24.99022 -24.98491 -24.99225 -24.99961
 -25.01045 -25.04882 -25.13242 -25.21992 -25.33887 -25.56300 -25.76981 -25.98171
 -24.98927 -24.98927 -24.98927 -24.98927 -24.98931 -24.98937 -24.98907 -24.98926
 -24.99012 -24.98625 -24.98827 -25.00430 -25.00682 -24.99853 -25.00634 -25.01003
 -25.01581 -25.05370 -25.13533 -25.21783 -25.33144 -25.55042 -25.75472 -25.96429
 -25.00195 -25.00196 -25.00195 -25.00195 -25.00200 -25.00208 -25.00168 -25.00194
 -25.00306 -24.99799 -25.00057 -25.02135 -25.02447 -25.01302 -25.02132 -25.02112
 -25.02154 -25.05891 -25.13845 -25.21563 -25.32359 -25.53710 -25.73874 -25.94585
 -25.01642 -25.01643 -25.01642 -25.01641 -25.01647 -25.01657 -25.01608 -25.01641
 -25.01783 -25.01140 -25.01461 -25.04080 -25.04460 -25.02955 -25.03841 -25.03379
 -25.02810 -25.06488 -25.14202 -25.21317 -25.31468 -25.52199 -25.72061 -25.92491
 -25.02671 -25.02672 -25.02672 -25.02670 -25.02676 -25.02688 -25.02632 -25.02670
 -25.02833 -25.02093 -25.02460 -25.05462 -25.05891 -25.04132 -25.05058 -25.04281
 -25.03279 -25.06914 -25.14458 -25.21143 -25.30838 -25.51129 -25.70775 -25.91006
